id;site;xx;template;engine
1921;:za:CIB:Transaction Banking:Host to Host B2BI (Business to Business):UTR06805;15;_-new-template_-discovery-scan-with-credentials-copy;
1922;:za:CIB:Global Markets:Equities Institutional Applications & Feeds:UTR07422;15;_-new-template_-discovery-scan-with-credentials-copy;
1923;:za:CIB:Global Markets:FX Pricing and Execution API:UTR06464;15;_-new-template_-discovery-scan-with-credentials-copy;
1924;:za:CIB:Global Markets:FEDS - Foreign Exchange Dealer System:UTR06435;15;_-new-template_-discovery-scan-with-credentials-copy;
1925;:za:CIB:Investment Banking:ACBS - Advanced Commercial Banking System:UTR06208;15;_-new-template_-discovery-scan-with-credentials-copy;
1926;:za:CIB:CIB TS - Operations:Libra SA:UTR07038;15;_-new-template_-discovery-scan-with-credentials-copy;
1927;:za:CIB:CIB TS - Operations:Libra AR:UTR07475;15;_-new-template_-discovery-scan-with-credentials-copy;
1928;:za:CIB:CIB TS - Operations:EE - EximBills Enterprise:UTR07226;15;_-new-template_-discovery-scan-with-credentials-copy;
1929;:za:CIB:CIB TS - Operations:Fircosoft:UTR01119;15;_-new-template_-discovery-scan-with-credentials-copy;
1930;:za:CIB:Global Markets:Alchemy:UTR06186;15;_-new-template_-discovery-scan-with-credentials-copy;
1931;:za:CIB:CIB TS - Infrastructure:Control-M Scheduler South Africa:UTR07658;15;_-new-template_-discovery-scan-with-credentials-copy;
1932;:za:CIB:Transaction Banking:NBOL - New Business Online:UTR04660;15;_-new-template_-discovery-scan-with-credentials-copy;
1933;:za:CIB:Transaction Banking:BOL - Business Online:UTR06916;15;_-new-template_-discovery-scan-with-credentials-copy;
1934;:za:CIB:CIB TS - Corporate Functions:RDP - Risk Data Platform:UTR04051;15;_-new-template_-discovery-scan-with-credentials-copy;
1935;:za:CIB:CIB TS - Operations:LCM:UTR04379;15;_-new-template_-discovery-scan-with-credentials-copy;
1936;:za:CIB:CIB TS - Operations:AMH SA:UTR07297;15;_-new-template_-discovery-scan-with-credentials-copy;
1937;:za:CIB:CIB TS - Operations:JAS - Java Application Server:UTR03752;15;_-new-template_-discovery-scan-with-credentials-copy;
1938;:za:CIB:Global Markets:Murex EQD:UTR06224;15;_-new-template_-discovery-scan-with-credentials-copy;
1939;:za:CIB:Global Markets:eMarketTrader:UTR03404;15;_-new-template_-discovery-scan-with-credentials-copy;
1940;:za:CIB:Global Markets:Murex Core:UTR03366;15;_-new-template_-discovery-scan-with-credentials-copy;
1941;:za:CIB:Global Markets:Calypso AR:UTR05431;15;_-new-template_-discovery-scan-with-credentials-copy;
1942;:za:CIB:Global Markets:Murex GTS SA:UTR06226;15;_-new-template_-discovery-scan-with-credentials-copy;
1943;:za:CIB:Transaction Banking:GPP - Mass Payments:UTR05320;15;_-new-template_-discovery-scan-with-credentials-copy;
1944;:za:CIB:Global Markets:Market Rates Services:UTR06390;15;_-new-template_-discovery-scan-with-credentials-copy;
1945;:za:CIB:Global Markets:DPL - Data Provisioning Layer:UTR07013;15;_-new-template_-discovery-scan-with-credentials-copy;
1946;:za:CIB:CIB TS - Corporate Functions:CRS - Credit Rating System:UTR02122;15;_-new-template_-discovery-scan-with-credentials-copy;
1947;:za:CIB:CIB TS - Operations:Workfusion Robotics:UTR02074;15;_-new-template_-discovery-scan-with-credentials-copy;
1948;:za:CIB:Transaction Banking:BaNCS - Bank Alpha Network Custody System:UTR07395;15;_-new-template_-discovery-scan-with-credentials-copy;
1949;:za:CIB:Transaction Banking:HiPortfolio:UTR07343;15;_-new-template_-discovery-scan-with-credentials-copy;
1950;:za:CIB:Transaction Banking:BaNCS Securities Lending:UTR07099;15;_-new-template_-discovery-scan-with-credentials-copy;
1951;:za:CIB:CIB TS - Corporate Functions:Spreadpac:UTR06353;15;_-new-template_-discovery-scan-with-credentials-copy;
1952;:za:CIB:Global Markets:Calypso SA FX IRD:UTR05434;15;_-new-template_-discovery-scan-with-credentials-copy;
1953;:za:CIB:CIB TS - Operations:AMH - Alliance Messaging Hub AR:UTR02422;15;_-new-template_-discovery-scan-with-credentials-copy;
1954;:za:CIB:Global Markets:Hoops:UTR06187;15;_-new-template_-discovery-scan-with-credentials-copy;
1955;:za:CIB:Transaction Banking:Amdocs:UTR05392;15;_-new-template_-discovery-scan-with-credentials-copy;
1956;:za:CIB:Global Markets:Murex MM - Money Markets:UTR06225;15;_-new-template_-discovery-scan-with-credentials-copy;
1957;:za:CIB:CIB TS - Service Delivery:MQ Gateway:UTR04982;15;_-new-template_-discovery-scan-with-credentials-copy;
1958;:za:CIB:Transaction Banking:PayEX:UTR04241;15;_-new-template_-discovery-scan-with-credentials-copy;
1959;:za:CIB:CIB TS - Operations:RTGS - Real Time Gross Settlement:UTR07227;15;_-new-template_-discovery-scan-with-credentials-copy;
1960;:za:CIB:CIB TS - Operations:QMAN - Customer Query Management System Core:UTR07225;15;_-new-template_-discovery-scan-with-credentials-copy;
1961;:za:CIB:CIB TS - Operations:OSD - Operational Static Data:UTR02192;15;_-new-template_-discovery-scan-with-credentials-copy;
1962;:za:CIB:CIB TS - Operations:ZAPS - South African Payment System:UTR06184;15;_-new-template_-discovery-scan-with-credentials-copy;
1963;:za:CIB:CIB TS - Operations:ISW - Interest Statement Warehouse:UTR03310;15;_-new-template_-discovery-scan-with-credentials-copy;
1964;:za:CIB:Transaction Banking:ICM - International Cash Management:UTR05610;15;_-new-template_-discovery-scan-with-credentials-copy;
1965;:za:CIB:CIB TS - Operations:PRISM:UTR05612;15;_-new-template_-discovery-scan-with-credentials-copy;
1966;:za:CIB:CIB TS - Operations:CFC - Customer Foreign Currency:UTR05609;15;_-new-template_-discovery-scan-with-credentials-copy;
1967;:za:CIB:Global Markets:Algorithmic Trading (BlueAlgo):UTR06275;15;_-new-template_-discovery-scan-with-credentials-copy;
1968;:za:CIB:Global Markets:CDP - Content and Distribution Portal:UTR01923;15;_-new-template_-discovery-scan-with-credentials-copy;
1969;:za:CIB:Global Markets:CDP - Content Distribution Portal (ICBCS):UTR07042;15;_-new-template_-discovery-scan-with-credentials-copy;
1970;:zm:CIB:Transaction Banking:NBOL - New Business Online:UTR04660;36;authentication-test-ssh;
1971;:za:CIB:Transaction Banking:IS Online:UTR06328;15;_-new-template_-discovery-scan-with-credentials-copy;
1972;:za:CIB:Transaction Banking:GCMS - Global Clearing Management System:UTR06331;15;_-new-template_-discovery-scan-with-credentials-copy;
1973;:za:CIB:CIB TS - Operations:FX ARM:UTR01064;15;_-new-template_-discovery-scan-with-credentials-copy;
1974;:za:CIB:Transaction Banking:Linx SBG:UTR03334;15;_-new-template_-discovery-scan-with-credentials-copy;
1975;:za:CIB:Transaction Banking:Linx Liberty:UTR06329;15;_-new-template_-discovery-scan-with-credentials-copy;
1976;:za:CIB:Transaction Banking:Confluence Portfolio Control:UTR06324;15;_-new-template_-discovery-scan-with-credentials-copy;
1977;:za:CIB:Transaction Banking:Host to Host / Discovery Challenger:UTR02631;15;_-new-template_-discovery-scan-with-credentials-copy;
1978;:za:CIB:CIB TS - Operations:Cash Integrated System - ISA:UTR04324;15;_-new-template_-discovery-scan-with-credentials-copy;
1979;:za:CIB:Transaction Banking:Confluence Foundation:UTR07309;15;_-new-template_-discovery-scan-with-credentials-copy;
1980;:za:CIB:Global Markets:Calypso SA MM:UTR06245;15;_-new-template_-discovery-scan-with-credentials-copy;
1981;:bw:CIB:CIB TS - Operations:RTGS - Real Time Gross Settlement:UTR07227;76;authentication-test-ssh;
1982;:za:CIB:Global Markets:Blue Curve:UTR04170;15;_-new-template_-discovery-scan-with-credentials-copy;
